time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1336.129,0,0,0,0,0,0
1336.13,0,0,0,0,0,0
1336.131,0,0,0,0,0,0
1336.132,0,0,0,0,0,0
1336.133,0,0,0,0,0,0
1336.134,0,0,0,0,0,0
1336.135,0,0,0,0,0,0
1336.136,0,0,0,0,0,0
1336.137,0,0,0,0,0,0
1336.138,0,0,0,0,0,0
1336.139,0,0,0,0,0,0
1336.14,0,0,0,0,0,0
1336.141,0,0,0,0,0,0
1336.142,0,0,0,0,0,0
1336.143,0,0,0,0,0,0
1336.144,0,0,0,0,0,0
1336.145,0,0,0,0,0,0
1336.146,0,0,0,0,0,0
1336.147,0,0,0,0,0,0
1336.148,0,0,0,0,0,0
1336.149,0,0,0,0,0,0
1336.15,0,0,0,0,0,0
1336.151,0,0,0,0,0,0
1336.152,0,0,0,0,0,0
1336.153,0,0,0,0,0,0
1336.154,0,0,0,0,0,0
1336.155,0,0,0,0,0,0
1336.156,0,0,0,0,0,0
1336.157,0,0,0,0,0,0
1336.158,0,0,0,0,0,0
1336.159,0,0,0,0,0,0
1336.16,0,0,0,0,0,0
1336.161,0,0,0,0,0,0
1336.162,0,0,0,0,0,0
1336.163,0,0,0,0,0,0
1336.164,0,0,0,0,0,0
1336.165,0,0,0,0,0,0
1336.166,0,0,0,0,0,0
1336.167,0,0,0,0,0,0
1336.168,0,0,0,0,0,0
1336.169,0,0,0,0,0,0
1336.17,0,0,0,0,0,0
1336.171,0,0,0,0,0,0
1336.172,0,0,0,0,0,0
1336.173,0,0,0,0,0,0
1336.174,0,0,0,0,0,0
1336.175,0,0,0,0,0,0
1336.176,0,0,0,0,0,0
1336.177,0,0,0,0,0,0
1336.178,0,0,0,0,0,0
1336.179,0,0,0,0,0,0
1336.18,0,0,0,0,0,0
1336.181,0,0,0,0,0,0
1336.182,0,0,0,0,0,0
1336.183,0,0,0,0,0,0
1336.184,0,0,0,0,0,0
1336.185,0,0,0,0,0,0
1336.186,0,0,0,0,0,0
1336.187,0,0,0,0,0,0
1336.188,0,0,0,0,0,0
1336.189,0,0,0,0,0,0
1336.19,0,0,0,0,0,0
1336.191,0,0,0,0,0,0
1336.192,0,0,0,0,0,0
1336.193,0,0,0,0,0,0
1336.194,0,0,0,0,0,0
1336.195,0,0,0,0,0,0
1336.196,0,0,0,0,0,0
1336.197,0,0,0,0,0,0
1336.198,0,0,0,0,0,0
1336.199,0,0,0,0,0,0
1336.2,0,0,0,0,0,0
1336.201,0,0,0,0,0,0
1336.202,0,0,0,0,0,0
1336.203,0,0,0,0,0,0
1336.204,0,0,0,0,0,0
1336.205,0,0,0,0,0,0
1336.206,0,0,0,0,0,0
1336.207,0,0,0,0,0,0
1336.208,0,0,0,0,0,0
1336.209,0,0,0,0,0,0
1336.21,0,0,0,0,0,0
1336.211,0,0,0,0,0,0
1336.212,0,0,0,0,0,0
1336.213,0,0,0,0,0,0
1336.214,0,0,0,0,0,0
1336.215,0,0,0,0,0,0
1336.216,0,0,0,0,0,0
1336.217,0,0,0,0,0,0
1336.218,0,0,0,0,0,0
1336.219,0,0,0,0,0,0
1336.22,0,0,0,0,0,0
1336.221,0,0,0,0,0,0
1336.222,0,0,0,0,0,0
1336.223,0,0,0,0,0,0
1336.224,0,0,0,0,0,0
1336.225,0,0,0,0,0,0
1336.226,0,0,0,0,0,0
1336.227,0,0,0,0,0,0
1336.228,0,0,0,0,0,0
1336.229,0,0,0,0,0,0
1336.23,0,0,0,0,0,0
1336.231,0,0,0,0,0,0
1336.232,0,0,0,0,0,0
1336.233,0,0,0,0,0,0
1336.234,0,0,0,0,0,0
1336.235,0,0,0,0,0,0
1336.236,0,0,0,0,0,0
1336.237,0,0,0,0,0,0
1336.238,0,0,0,0,0,0
1336.239,0,0,0,0,0,0
